,total_reads,counts,deltatime,density
563,337154.0,400,1668000.0,0.00023980815347721823
564,618834.0,400,1766580.0,0.00022642620204010007
565,845516.0,400,9118020.0,4.386917335123196e-05
566,366306.0,400,1303800.0,0.00030679552078539653
567,395349.0,400,1685700.0,0.00023729014652666548
568,481548.0,398,133680.0,0.0029772591262716935
570,416561.0,400,3467940.0,0.00011534224928920338
571,608013.0,400,4346820.0,9.202129372736851e-05
572,458719.0,399,786420.0,0.0005073624780651561
573,399402.0,400,3060540.0,0.00013069589026773053
576,428199.0,400,2006280.0,0.00019937396574755268
581,410389.0,400,1774260.0,0.00022544610147329027
582,483927.0,398,2876340.0,0.00013837029002134658
584,535818.0,400,3218100.0,0.00012429694540256673
585,552495.0,400,1936860.0,0.0002065198310667782
586,316923.0,400,1905960.0,0.00020986799303238264
587,318888.0,400,802020.0,0.0004987406797835465
589,517176.0,399,2034840.0,0.00019608421300937665
590,310056.0,400,1166880.0,0.0003427944604415193
591,375832.0,400,1411080.0,0.00028347081667942284
592,513745.0,400,2538060.0,0.0001576006871389959
593,376043.0,400,2284680.0,0.00017507922334856522
595,266831.0,400,536580.0,0.0007454620000745462
596,1315690.0,400,1746600.0,0.00022901637467078896
597,552470.0,400,3113280.0,0.00012848185836159933
598,505161.0,400,2957040.0,0.0001352704055406758
599,520739.0,400,2867700.0,0.0001394846043867908
600,425446.0,400,2006280.0,0.00019937396574755268
601,453404.0,400,2952960.0,0.000135457303857824
603,395075.0,399,1843740.0,0.00021640795339906928
605,665841.0,400,8562360.0,4.6716092292311934e-05
606,518828.0,400,1654620.0,0.00024174734984467732
607,289379.0,399,786420.0,0.0005073624780651561
608,975644.0,400,9076800.0,4.406839414771726e-05
609,434236.0,399,199860.0,0.0019963974782347643
610,294113.0,400,1336620.0,0.00029926231838518053
611,475229.0,400,2937060.0,0.00013619061238108858
612,416479.0,400,2967540.0,0.00013479178039723137
613,317125.0,400,814440.0,0.0004911350130150778
615,621018.0,400,4426380.0,9.036729788224238e-05
616,500784.0,400,2258580.0,0.0001771024271887646
617,1894600.0,400,10442280.0,3.830581060841119e-05
619,780951.0,400,6656280.0,6.009362586910406e-05
620,430730.0,400,2618040.0,0.00015278605368901926
622,220631.0,400,462420.0,0.0008650144889926906
623,614180.0,400,4174560.0,9.581848146870568e-05
625,835879.0,396,650040.0,0.000609193280413513
626,781176.0,400,6104340.0,6.55271495362316e-05
627,462510.0,400,2376780.0,0.00016829492001783927
628,752702.0,400,6640680.0,6.0234795231813606e-05
629,514323.0,400,520740.0,0.0007681376502669279
630,389395.0,400,1848180.0,0.00021642913569024663
631,595818.0,400,5893500.0,6.787138372783575e-05
632,919730.0,400,7893060.0,5.0677430552916104e-05
633,472297.0,400,3139200.0,0.00012742099898063202
635,442631.0,400,2873940.0,0.0001391817504888759
636,466880.0,400,172500.0,0.002318840579710145
637,719428.0,400,4709160.0,8.494083870584139e-05
638,475860.0,400,2928300.0,0.000136598026158522
639,438258.0,400,2258820.0,0.000177083610026474
650,283290.0,400,461460.0,0.0008668140250509253
651,950150.0,398,27120.0,0.01467551622418879
652,761630.0,398,1932120.0,0.0002059913462931909
655,410319.0,400,2438820.0,0.00016401374435177668
656,571616.0,397,2625000.0,0.00015123809523809523
657,622661.0,400,4776840.0,8.37373661248859e-05
659,448492.0,400,2373180.0,0.00016855021532290008
661,400587.0,400,207180.0,0.0019306882903755188
662,421681.0,399,129180.0,0.0030887134231305157
663,990604.0,400,8319900.0,4.807750093150158e-05
665,573213.0,400,4223520.0,9.470773193923553e-05
666,439040.0,400,2445120.0,0.00016359115299044628
667,1208207.0,400,4870980.0,8.211899864093057e-05
668,526425.0,400,3007500.0,0.00013300083125519535
669,394786.0,400,1577160.0,0.0002536204316619747
670,405127.0,398,182760.0,0.0021777194134383893
671,440036.0,400,2355540.0,0.0001698124421576369
672,385451.0,400,557340.0,0.0007176947644166936
673,240373.0,400,113160.0,0.003534817956875221
676,217676.0,400,191880.0,0.0020846362309776944
677,285522.0,400,474720.0,0.0008426019548365353
678,1261753.0,400,12100560.0,3.305632136033374e-05
679,571805.0,400,3472800.0,0.0001151808339092375
680,369529.0,400,2226480.0,0.00017965577952642738
681,608062.0,400,1835160.0,0.000217964646134397
682,408732.0,400,1990680.0,0.00020093636345369423
683,349274.0,400,920160.0,0.0004347070074769605
685,553042.0,400,7379760.0,5.420230468199508e-05
686,437381.0,400,2352660.0,0.00017002031742793263
687,364881.0,400,1320360.0,0.00030294768093550245
688,1050369.0,400,8627580.0,4.6362943026897464e-05
690,550056.0,400,4268580.0,9.370797782869245e-05
691,510980.0,400,2456580.0,0.00016282799664574327
692,999086.0,400,7781520.0,5.140383883868447e-05
695,873459.0,400,6671460.0,5.995689099537432e-05
697,388392.0,400,1149060.0,0.00034811062955807353
698,509849.0,400,2961480.0,0.0001350676013344679
700,394919.0,400,2006700.0,0.0001993322370060298
701,912104.0,400,4693560.0,8.522315683617552e-05
702,322015.0,400,1408440.0,0.00028400215841640396
703,384578.0,398,1425000.0,0.0002792982456140351
705,1001042.0,397,8709720.0,4.558125863977258e-05
707,673141.0,400,2609400.0,0.00015329194450831607
708,513028.0,400,2274180.0,0.00017588757266355346
709,438941.0,400,1681620.0,0.00023786586743735206
710,518159.0,398,1330980.0,0.00029902778403882854
711,366110.0,400,881820.0,0.00045360731214987184
712,422291.0,398,1054680.0,0.0003773656464520044
713,256650.0,399,471780.0,0.000845733180719827
715,1386239.0,400,6795720.0,5.8860576951375275e-05
716,315697.0,400,1670640.0,0.00023942920078532778
717,429824.0,401,269040.0,0.0014904846862920011
718,426706.0,400,2412540.0,0.00016580035978678074
719,764587.0,400,8658420.0,4.619780514227769e-05
720,440584.0,400,1328640.0,0.00030105973025048167
721,429968.0,400,3158760.0,0.00012663196950702174
722,4856543.0,400,4427640.0,9.034158151972608e-05
723,255697.0,400,47700.0,0.008385744234800839
725,1370011.0,400,25860.0,0.015467904098994586
726,570917.0,400,5975880.0,6.693574837513471e-05
727,298256.0,400,731760.0,0.0005466273095003826
728,571549.0,400,4236480.0,9.441800740237178e-05
729,500409.0,400,790140.0,0.0005062394006125497
731,529848.0,399,4363980.0,9.143029986388571e-05
732,403067.0,400,619860.0,0.0006453070048075372
733,575994.0,399,2943060.0,0.00013557317893620924
735,406527.0,401,81960.0,0.004892630551488531
736,791056.0,400,7352820.0,5.440089652677476e-05
737,610190.0,400,3565740.0,0.00011217867819863478
738,448043.0,400,3026460.0,0.00013216761496930406
739,451772.0,400,1323840.0,0.00030215131737974376
750,410782.0,399,1390740.0,0.00028689762284826785
751,723554.0,400,5982000.0,6.686726847208291e-05
752,595646.0,400,4145460.0,9.64911011082003e-05
753,1025309.0,400,9701880.0,4.122912260304188e-05
755,892343.0,400,6587400.0,6.072198439445001e-05
756,713452.0,400,6070320.0,6.589438448055456e-05
757,575078.0,400,3481020.0,0.00011490884855588305
758,432889.0,398,1933800.0,0.0002058123901127314
759,998721.0,400,6553560.0,6.10355287813036e-05
760,282101.0,400,875160.0,0.00045705928058869237
761,817586.0,400,10805760.0,3.7017294479981044e-05
762,516802.0,400,3244020.0,0.0001233038020727369
766,283382.0,400,558180.0,0.0007166147121000394
767,757904.0,398,7724460.0,5.152463732092599e-05
768,631246.0,400,820200.0,0.000487685930260912
776,641457.0,400,2503440.0,0.00015978014252388713
777,446421.0,400,3659100.0,0.00010931649859255008
778,568444.0,400,1816620.0,0.00022018914247338463
779,930687.0,400,8647440.0,4.625646434089164e-05
780,460088.0,400,4250280.0,9.411144677527127e-05
782,307650.0,400,444900.0,0.0008990784445942908
783,477906.0,400,2371800.0,0.00016864828400371025
785,486210.0,400,464040.0,0.0008619946556331351
786,573540.0,399,2963400.0,0.00013464264021056894
788,366152.0,400,1252200.0,0.00031943778949049674
789,335584.0,398,738120.0,0.0005392077169024007
790,533716.0,400,2527980.0,0.00015822909991376513
791,336781.0,400,1920180.0,0.00020831380391421637
792,977142.0,397,720060.0,0.0005513429436435853
793,417425.0,399,1106640.0,0.00036055085664714814
795,239315.0,400,638220.0,0.0006267431293284448
796,430854.0,398,2009340.0,0.000198074989797645
797,674169.0,400,5645400.0,7.085414673893789e-05
798,863192.0,400,8019960.0,4.9875560476610855e-05
799,984013.0,400,534660.0,0.0007481390042269854
800,267786.0,400,-40980.0,-0.009760858955588092
801,548037.0,400,4754640.0,8.412834620497031e-05
802,305715.0,400,725160.0,0.0005516024049864857
803,459831.0,398,1922880.0,0.00020698119487435514
806,561859.0,400,1209900.0,0.00033060583519299114
807,415445.0,400,1670400.0,0.00023946360153256704
809,512805.0,400,3568260.0,0.0001120994546361532
810,262277.0,398,973800.0,0.0004087081536249743
811,359265.0,400,1923420.0,0.0002079628994187437
812,355038.0,400,1951860.0,0.00020493273083110468
813,290422.0,400,567480.0,0.0007048706562345809
815,330249.0,400,1263960.0,0.0003164657109402196
816,376295.0,400,1228260.0,0.0003256639473727061
818,334066.0,400,463380.0,0.0008632224092537443
819,869899.0,400,5970480.0,6.699628840562233e-05
820,332693.0,400,1334280.0,0.0002997871511227029
821,490422.0,400,3024900.0,0.00013223577638930213
822,416285.0,400,2940240.0,0.0001360433161918755
823,437460.0,400,1167540.0,0.00034260068177535674
825,479927.0,400,1404840.0,0.00028472993365792545
826,389040.0,398,716520.0,0.0005554625132585273
828,685385.0,400,6788100.0,5.892665105110414e-05
829,351198.0,399,1331400.0,0.0002996845425867508
830,396072.0,400,649020.0,0.0006163138270007088
831,282814.0,399,653400.0,0.000610651974288338
833,497922.0,400,3216900.0,0.00012434331188411203
835,237504.0,400,129480.0,0.0030892801977139327
